Components,Unit,Type,0,0.5,1,4,9 m,14 m,19 m,31 m,51 m,70 m,9 f,14 f,19 f,31 f,51 f,70 f,0 p,19 p,31 p,0 l,19 l,31 l
Total Protein,g/kg,Good,1.52,1.2,1.05,0.95,0.95,0.85,0.8,0.8,0.8,0.8,0.95,0.85,0.8,0.8,0.8,0.8,1.1,1.1,1.1,1.3,1.3,1.3
Total Protein,g ,Good,9.1,11,13,19,34,52,56,56,56,56,34,46,46,46,46,46,71,71,71,71,71,71
Total Protein,g ,Max,,,,,,,,,,,,,,,,,,,,,,
Total Fat,g,Min,31,30,,,,,,,,,,,,,,,,,,,,
Total Fat,g,Max,,,,,,,,,,,,,,,,,,,,,,
Linoleic Acid,g,Min,4.4,4.6,7,10,12,16,17,17,14,14,10,11,12,12,11,11,13,13,13,13,13,13
Linoleic Acid,g,Max,,,,,,,,,,,,,,,,,,,,,,
Α-linolenic Acid,g,Min,0.5,0.5,0.7,0.9,1.2,1.6,1.6,1.6,1.6,1.6,1,1.1,1.1,1.1,1.1,1.1,1.4,1.4,1.4,1.3,1.3,1.3
Α-linolenic Acid,g,Max,,,,,,,,,,,,,,,,,,,,,,
Total Fibre,g,Min,,,19,25,31,38,38,38,30,30,26,26,25,25,21,21,28,28,28,29,29,29
Total Fibre,g,Max,,,,,,,,,,,,,,,,,,,,,,
Total Water,Litres,Min,0.7,0.8,1.3,1.7,2.4,3.3,3.7,3.7,3.7,3.7,2.1,2.3,2.7,2.7,2.7,2.7,3,3,3,3.8,3.8,3.8
Total Water,Litres,Max,,,,,,,,,,,,,,,,,,,,,,
Total Carbohydrate,E%,E%,,,45 - 65 %,45 - 65 %,47 - 65 %,48 - 65 %,45 - 65 %,46 - 65 %,47 - 65 %,48 - 65 %,47 - 65 %,47 - 65 %,45 - 65 %,46 - 65 %,47 - 65 %,48 - 65 %,47 - 65 %,45 - 65 %,46 - 65 %,47 - 65 %,45 - 65 %,46 - 65 %
Total Protein,E%,E%,,,5 - 20 %,10 - 30 %,12 - 30 %,13 - 30 %,10 - 35 %,11 - 35 %,12 - 35 %,13 - 35 %,12 - 30 %,12 - 30 %,10 - 35 %,11 - 35 %,12 - 35 %,13 - 35 %,12 - 30 %,10 - 35 %,11 - 35 %,12 - 30 %,10 - 35 %,11 - 35 %
Total Fat,E%,E%,,,30 - 40 %,25 - 35 %,27 - 35 %,28 - 35 %,20 - 35 %,21 - 35 %,22 - 35 %,23 - 35 %,27 - 35 %,27 - 35 %,20 - 35 %,21 - 35 %,22 - 35 %,23 - 35 %,27 - 35 %,20 - 35 %,21 - 35 %,27 - 35 %,20 - 35 %,21 - 35 %
