FoodID,MeasureID,ConversionFactorValue
109,994,1.3975
109,1454,0.3
110,348,0.5579
110,368,0.4776
110,990,0.5
110,994,1.39475
110,995,1.18343
110,1454,0.3
111,348,0.5579
111,368,0.4776
111,990,0.5
111,994,1.39476
111,995,1.194
111,1454,0.3
112,341,1.08199
112,383,1.33136
112,385,0.16229
112,415,2.70499
113,341,1.03128
113,415,2.57819
114,341,1.0355
114,415,2.58876
115,341,0.2894
115,383,0.35926
115,415,0.71851
115,439,0.01447
115,1574,0.25
116,341,1.05664
116,383,1.3208
116,389,1.8491
116,415,2.6416
117,91,0.60862
117,341,1.01437
117,383,1.26796
117,415,2.53593
117,990,0.5
117,1608,0.99
118,284,1.135
118,341,0.95947
118,385,0.14392
118,415,2.39856
118,439,0.0479
118,966,0.05
118,1573,0.1
119,348,0.5579
119,358,1.03128
119,368,0.4776
119,990,0.5
119,994,1.39476
119,995,1.194
119,996,2.57819
119,1454,0.3
120,376,0.9552
120,383,1.19399
120,983,2.388
120,1489,1.25
122,341,0.3973
122,385,0.05959
122,439,0.01987
122,801,0.03
122,1576,0.02
123,341,1.03128
123,415,2.57819
124,341,1.0355
124,415,2.58876
125,142,0.5268
125,341,1.02705
125,383,1.28381
125,415,2.56762
125,556,0.4158
125,941,0.5813
125,942,0.4639
125,990,0.5
125,992,0.6482
125,1609,1.0536
125,1672,0.3349
126,142,0.33
126,341,1.02705
126,383,1.28381
126,415,2.56763
126,556,0.2877
126,941,0.3988
126,942,0.3237
126,990,0.5
126,992,0.4626
126,1608,0.99
126,1672,0.238
127,142,0.1614
127,341,1.02705
127,383,1.28381
127,415,2.56763
127,556,0.1281
127,941,0.1825
127,942,0.1402
127,990,0.5
127,992,0.1856
127,1610,0.68
127,1672,0.0969
127,502452,0.25
129,142,0.46
129,556,0.35
129,990,0.5
129,1609,0.92
130,142,0.5
130,343,0.57481
130,385,0.08615
130,990,0.5
130,991,1.43703
130,1609,1
132,142,0.5
132,556,0.38
132,990,0.5
132,1609,1
133,142,0.61
133,341,0.92984
133,415,2.32459
133,556,0.48
133,1482,1.1
133,1609,1.22
134,341,0.50719
134,383,0.63398
134,415,1.26796
134,1574,0.25
136,341,1.01437
136,383,1.26796
136,385,0.15216
136,415,2.53593
136,998,0.111
137,341,1.01014
137,378,0.50507
137,385,0.15152
137,999,1.26796
137,1000,2.52536
137,1467,0.15
138,341,1.00592
138,378,0.50719
138,385,0.15088
138,999,1.26796
138,1000,2.51479
138,1467,0.15
139,341,0.9721
139,383,1.21513
139,385,0.14582
139,415,2.43026
139,428,0.29164
140,341,1.06509
140,383,1.33136
140,385,0.15976
140,415,2.66272
147,376,0.9552
147,383,1.19399
147,983,1.53212
147,1489,1.25
150,341,1.02282
150,383,1.27852
150,385,0.15342
150,415,2.55706
150,998,0.15
151,341,1.01437
151,383,1.26796
151,385,0.15215
151,415,2.53593
151,998,0.111
152,341,0.9721
152,383,1.21513
152,385,0.14582
152,415,2.43026
152,428,0.29164
153,341,1.06509
153,383,1.33136
153,385,0.15976
153,415,2.66272
160,348,0.5579
160,368,0.45647
160,976,1.39475
160,977,1.14118
160,990,0.5
160,1454,0.3
163,341,1.01437
163,383,1.26797
163,385,0.15215
163,415,2.53593
163,998,0.111
164,341,0.73542
164,383,0.91927
164,415,1.83855
