,FolateTable 3 footnote 12,Vitamin B12,Pantothenic Acid,Biotin,CholineTable 3 footnote 15
Unit,μg/day (DFE),μg/day,mg/day,μg/day,mg/day
,EAR,RDA/AI,ULTable 3 footnote 13,EAR,RDA/AI,ULTable 3 footnote 14,AI,ULTable 3 footnote 14,AI,ULTable 3 footnote 14,AI,UL
Infants
"0-6 mo
 7-12 mo","ND
 ND","65*
 80*","ND
 ND","ND
 ND","0.4*
 0.5*","ND
 ND","1.7*
 1.8*","ND
 ND","5*
 6*","ND
 ND","125*
 150*","ND
 ND"
Children
"1-3 y
 4-8 y","120
 160","150
 200","300
 400","0.7
 1.0","0.9
 1.2","ND
 ND","2*
 3*","ND
 ND","8*
 12*","ND
 ND","200*
 250*","1000
 1000"
Males
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","250
 330
 320
 320
 320
 320","300
 400
 400
 400
 400
 400","600
 800
 1000
 1000
 1000
 1000","1.5
 2.0
 2.0
 2.0
 2.0
 2.0","1.8
 2.4
 2.4
 2.4
 2.4 Table 3 footnote d
 2.4 Table 3 footnote d","ND
 ND
 ND
 ND
 ND
 ND","4*
 5*
 5*
 5*
 5*
 5*","ND
 ND
 ND
 ND
 ND
 ND","20*
 25*
 30*
 30*
 30*
 30*","ND
 ND
 ND
 ND
 ND
 ND","375*
 550*
 550*
 550*
 550*
 550*","2000
 3000
 3500
 3500
 3500
 3500"
Females
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","250
 330
 320
 320
 320
 320","300
 400Table 3 footnote b
 400Table 3 footnote b
 400Table 3 footnote b
 400
 400","600
 800
 1000
 1000
 1000
 1000","1.5
 2.0
 2.0
 2.0
 2.0
 2.0","1.8
 2.4
 2.4
 2.4
 2.4Table 3 footnote d
 2.4 Table 3 footnote d","ND
 ND
 ND
 ND
 ND
 ND","4*
 5*
 5*
 5*
 5*
 5*","ND
 ND
 ND
 ND
 ND
 ND","20*
 25*
 30*
 30*
 30*
 30*","ND
 ND
 ND
 ND
 ND
 ND","375*
 400*
 425*
 425*
 425*
 425*","2000
 3000
 3500
 3500
 3500
 3500"
Pregnancy
"< 18 y
 19-30 y
 31-50 y","520
 520
 520","600Table 3 footnote c
 600Table 3 footnote c
 600Table 3 footnote c","800
 1000
 1000","2.2
 2.2
 2.2","2.6
 2.6
 2.6","ND
 ND
 ND","6*
 6*
 6*","ND
 ND
 ND","30*
 30*
 30*","ND
 ND
 ND","450*
 450*
 450*","3000
 3500
 3500"
Lactation
"< 18 y
 19-30 y
 31-50 y","450
 450
 450","500
 500
 500","800
 1000
 1000","2.4
 2.4
 2.4","2.8
 2.8
 2.8","ND
 ND
 ND","7*
 7*
 7*","ND
 ND
 ND","35*
 35*
 35*","ND
 ND
 ND","550*
 550*
 550*","3000
 3500
 3500"
