,"Carbohydrate
 (Digestible)",Total ProteinTable 1 footnote 29,Total Fat,"Linoleic Acid
 (n-6)","α-linolenic
 Acid (n-3)",Total FibreTable 1 footnote 31,Total WaterTable 1 footnote 33
Unit,g/day,g/kg/day,g/day Table 1 footnote 30,g/day,g/day,g/day,g/day,Litres/day
,EAR,RDA/AI,ULTable 1 footnote 28,EAR,RDA/AI,RDA/AI,ULTable 1 footnote 28,AI,ULTable 1 footnote 28,AI,ULTable 1 footnote 28,AI,ULTable 1 footnote 28,AITable 1 footnote 32,ULTable 1 footnote 28,AI,ULTable 1 footnote 28
Infants
"0-6 mo
 7-12 mo","ND
 ND","60*
 95*","ND
 ND","ND
 1.0","1.52*
1.2","9.1*
11.0","ND
 ND","31*
 30*","ND
 ND","4.4*
 4.6*","ND
 ND","0.5*
 0.5*","ND
 ND","ND
 ND","ND
 ND","0.7*
 0.8*","ND
 ND"
Children
"1-3 y
 4-8 y","100
 100","130
 130","ND
 ND","0.87
 0.76","1.05
 0.95","13
 19","ND
 ND","ND
 ND","ND
 ND","7*
 10*","ND
 ND","0.7*
 0.9*","ND
 ND","19*
 25*","ND
 ND","1.3*
 1.7*","ND
 ND"
Males
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","100
 100
 100
 100
 100
 100","130
 130
 130
 130
 130
 130","ND
 ND
 ND
 ND
 ND
 ND","0.76
 0.73
 0.66
 0.66
 0.66
 0.66","0.95
 0.85
 0.80
 0.80
 0.80
 0.80","34
 52
 56
 56
 56
 56","ND
 ND
 ND
 ND
 ND
 ND","ND
 ND
 ND
 ND
 ND
 ND","ND
 ND
 ND
 ND
 ND
 ND","12*
 16*
 17*
 17*
 14*
 14*","ND
 ND
 ND
 ND
 ND
 ND","1.2*
 1.6*
 1.6*
 1.6*
 1.6*
 1.6*","ND
 ND
 ND
 ND
 ND
 ND","31*
 38*
 38*
 38*
 30*
 30*","ND
 ND
 ND
 ND
 ND
 ND","2.4*
 3.3*
 3.7*
 3.7*
 3.7*
 3.7*","ND
 ND
 ND
 ND
 ND
 ND"
Females
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","100
 100
 100
 100
 100
 100","130
 130
 130
 130
 130
 130","ND
 ND
 ND
 ND
 ND
 ND","0.76
 0.71
 0.66
 0.66
 0.66
 0.66","0.95
 0.85
 0.80
 0.80
 0.80
 0.80","34
 46
 46
 46
 46
 46","ND
 ND
 ND
 ND
 ND
 ND","ND
 ND
 ND
 ND
 ND
 ND","ND
 ND
 ND
 ND
 ND
 ND","10*
 11*
 12*
 12*
 11*
 11*","ND
 ND
 ND
 ND
 ND
 ND","1.0*
 1.1*
 1.1*
 1.1*
 1.1*
 1.1*","ND
 ND
 ND
 ND
 ND
 ND","26*
 26*
 25*
 25*
 21*
 21*","ND
 ND
 ND
 ND
 ND
 ND","2.1*
 2.3*
 2.7*
 2.7*
 2.7*
 2.7*","ND
 ND
 ND
 ND
 ND
 ND"
Pregnancy
"< 18 y
 19-30 y
 31-50 y","135
 135
 135","175
 175
 175","ND
 ND
 ND","0.88Table 1 footnote f
0.88Table 1 footnote f
0.88Table 1 footnote f","1.1Table 1 footnote f
 1.1Table 1 footnote f
 1.1Table 1 footnote f","71Table 1 footnote f
 71Table 1 footnote f
 71Table 1 footnote f","ND
 ND
 ND","ND
 ND
 ND","ND
 ND
 ND","13*
 13*
 13*","ND
 ND
 ND","1.4*
 1.4*
 1.4*","ND
 ND
 ND","28*
 28*
 28*","ND
 ND
 ND","3.0*
 3.0*
 3.0*","ND
 ND
 ND"
Lactation
"< 18 y
 19-30 y
 31-50 y","160
 160
 160","210
 210
 210","ND
 ND
 ND","1.05
 1.05
 1.05","1.3
 1.3
 1.3","71
 71
 71","ND
 ND
 ND","ND
 ND
 ND","ND
 ND
 ND","13*
 13*
 13*","ND
 ND
 ND","1.3*
 1.3*
 1.3*","ND
 ND
 ND","29*
 29*
 29*","ND
 ND
 ND","3.8*
 3.8*
 3.8*","ND
 ND
 ND"
